epoch,accuracy,loss,val_accuracy,val_loss
0,0.5439856648445129,0.6887190341949463,0.375,0.9577904939651489
1,0.5538599491119385,0.6902400851249695,0.40625,0.7133660316467285
2,0.576301634311676,0.6853183507919312,0.4375,0.7482520341873169
3,0.5861759185791016,0.6812808513641357,0.46875,0.7387443780899048
4,0.5664272904396057,0.6959270238876343,0.46875,0.7695918083190918
5,0.5511669516563416,0.6954689025878906,0.5,0.7104828357696533
6,0.5780969262123108,0.6875267624855042,0.375,0.7731142640113831
7,0.5843806266784668,0.6848456263542175,0.5625,0.6875804662704468
8,0.5053859949111938,0.7033576965332031,0.71875,0.6894057989120483
9,0.5754039287567139,0.6842734813690186,0.375,0.8025744557380676
10,0.5574506521224976,0.693690836429596,0.46875,0.8392155170440674
11,0.5565529465675354,0.6987070441246033,0.46875,0.7081103324890137
12,0.57001793384552,0.6892330646514893,0.46875,0.6903196573257446
13,0.5857142806053162,0.6815428137779236,0.40625,0.7316234111785889
14,0.5843806266784668,0.6826080083847046,0.4375,0.7541377544403076
15,0.5646319389343262,0.6848100423812866,0.375,0.871570348739624
16,0.5691202878952026,0.6883025169372559,0.375,0.7323724031448364
17,0.5673249363899231,0.6836521029472351,0.46875,0.700879693031311
18,0.5825852751731873,0.6806626319885254,0.375,0.7769458293914795
19,0.5385996699333191,0.6986716389656067,0.53125,0.6853106021881104
20,0.5511669516563416,0.6888465285301208,0.46875,0.6908748745918274
21,0.5825852751731873,0.6813071370124817,0.34375,0.7151148319244385
22,0.5852782726287842,0.6841139793395996,0.3125,0.8883368968963623
23,0.5502693057060242,0.6908187866210938,0.375,0.697606086730957
24,0.5511669516563416,0.6899405121803284,0.40625,0.6979892253875732
25,0.5771992802619934,0.6812422275543213,0.4375,0.7075904607772827
26,0.5794642567634583,0.6817859411239624,0.5,0.6920947432518005
27,0.5646319389343262,0.6840552687644958,0.40625,0.7272676229476929
28,0.5754039287567139,0.6795328259468079,0.40625,0.7451837062835693
29,0.5780969262123108,0.6841103434562683,0.375,0.8252658843994141
30,0.5861759185791016,0.6772308349609375,0.34375,0.7077031135559082
31,0.5565529465675354,0.6866218447685242,0.375,0.7055239677429199
32,0.5502693057060242,0.6914346218109131,0.59375,0.6845189929008484
33,0.5888689160346985,0.6808642745018005,0.5,0.6882134675979614
34,0.5493716597557068,0.6926347613334656,0.4375,0.7523583173751831
35,0.5448833107948303,0.6832002997398376,0.65625,0.681626558303833
36,0.5646319389343262,0.6872050762176514,0.5,0.6856599450111389
37,0.5879712700843811,0.6788555979728699,0.375,0.747391402721405
38,0.5377019643783569,0.6917182207107544,0.6875,0.6833727955818176
39,0.5574506521224976,0.6797752976417542,0.46875,0.6851487159729004
40,0.5754039287567139,0.6809425354003906,0.40625,0.7379822731018066
41,0.5646319389343262,0.6854034662246704,0.6875,0.6672024726867676
42,0.5368043184280396,0.6992912888526917,0.3125,0.8243056535720825
43,0.5780969262123108,0.6795200109481812,0.40625,0.7471371293067932
44,0.5816876292228699,0.678834080696106,0.59375,0.6811634302139282
45,0.593357264995575,0.6805470585823059,0.375,0.7929857969284058
46,0.5664272904396057,0.6804260611534119,0.375,0.7861956357955933
47,0.5843806266784668,0.6776083707809448,0.4375,0.759968638420105
48,0.5727109313011169,0.6872426867485046,0.6875,0.6788280010223389
49,0.5466786623001099,0.6977728605270386,0.46875,0.7160975933074951
50,0.5888689160346985,0.6753503084182739,0.3125,0.8085986375808716
51,0.5825852751731873,0.6767330765724182,0.40625,0.7557395696640015
52,0.5843806266784668,0.674821138381958,0.40625,0.7551106214523315
53,0.5619389414787292,0.6823339462280273,0.40625,0.7187602519989014
54,0.5816876292228699,0.6768401265144348,0.46875,0.6863811016082764
55,0.5798922777175903,0.6810688376426697,0.40625,0.7027243375778198
56,0.5780969262123108,0.6750970482826233,0.75,0.6576193571090698
57,0.5637342929840088,0.6875054240226746,0.4375,0.7115492820739746
58,0.5834829211235046,0.6756072044372559,0.46875,0.7004691362380981
59,0.5798922777175903,0.677001416683197,0.65625,0.6525696516036987
60,0.5655296444892883,0.6867292523384094,0.40625,0.7204749584197998
61,0.5780969262123108,0.6818647384643555,0.375,0.748940646648407
62,0.5745062828063965,0.6875807046890259,0.4375,0.7047832012176514
63,0.5718132853507996,0.6791005730628967,0.4375,0.7076479196548462
64,0.555655300617218,0.6888136267662048,0.3125,0.7901521921157837
65,0.5852782726287842,0.6826468706130981,0.5,0.6819310784339905
66,0.5852782726287842,0.6762991547584534,0.40625,0.7394282221794128
67,0.5897666215896606,0.6710333228111267,0.40625,0.7384839057922363
68,0.5816876292228699,0.6736755967140198,0.34375,0.7814326286315918
69,0.5780969262123108,0.6767988801002502,0.4375,0.7151678800582886
70,0.590664267539978,0.6702783107757568,0.34375,0.9118690490722656
71,0.57001793384552,0.6871470212936401,0.4375,0.7149986624717712
72,0.5834829211235046,0.6736146807670593,0.4375,0.7136983871459961
73,0.5879712700843811,0.6761338114738464,0.375,0.737796425819397
74,0.5798922777175903,0.675906777381897,0.4375,0.6953015327453613
75,0.5745062828063965,0.6814199090003967,0.4375,0.7216242551803589
76,0.578994631767273,0.673059344291687,0.4375,0.7123246192932129
77,0.5843806266784668,0.6794031262397766,0.375,0.7357854247093201
78,0.593357264995575,0.6741912961006165,0.4375,0.7112880945205688
79,0.5727109313011169,0.6744248867034912,0.375,0.7226807475090027
80,0.5682226419448853,0.6798855066299438,0.40625,0.782304584980011
81,0.5780969262123108,0.6857210397720337,0.375,0.8888545036315918
82,0.5825852751731873,0.6807178854942322,0.375,0.7178910374641418
83,0.5798922777175903,0.6773974895477295,0.46875,0.702422559261322
84,0.5754039287567139,0.6713102459907532,0.46875,0.7081930637359619
85,0.5897666215896606,0.6728105545043945,0.40625,0.7864320278167725
86,0.5852782726287842,0.6748090982437134,0.46875,0.743858277797699
87,0.5754039287567139,0.6757693886756897,0.4375,0.6827478408813477
88,0.5879712700843811,0.6753336787223816,0.4375,0.6984599828720093
89,0.5691202878952026,0.6855394840240479,0.4375,0.7095348834991455
90,0.5736086368560791,0.6792665123939514,0.5625,0.6739717721939087
91,0.5678571462631226,0.6855177879333496,0.71875,0.652400016784668
92,0.5565529465675354,0.6878957152366638,0.4375,0.7456796169281006
93,0.5879712700843811,0.6730648875236511,0.375,0.7910839319229126
94,0.5484739542007446,0.6913269758224487,0.4375,0.7107753753662109
95,0.5780969262123108,0.6821498870849609,0.40625,0.8279296159744263
96,0.5883928537368774,0.6730032563209534,0.375,0.6946538686752319
97,0.5888689160346985,0.6706071496009827,0.65625,0.6683449149131775
98,0.5673249363899231,0.6803163290023804,0.46875,0.6892748475074768
99,0.5897666215896606,0.6750398278236389,0.4375,0.7531397938728333
100,0.5718132853507996,0.6768172979354858,0.4375,0.778622031211853
101,0.6005386114120483,0.6714679002761841,0.40625,0.8073657155036926
102,0.5816876292228699,0.675046980381012,0.5,0.6837919354438782
103,0.6032316088676453,0.6731858849525452,0.375,0.7457143068313599
104,0.5834829211235046,0.6699181199073792,0.4375,0.6938576102256775
105,0.6068222522735596,0.6707243919372559,0.375,0.8536701202392578
106,0.5834829211235046,0.6834649443626404,0.40625,0.7321844100952148
107,0.5897666215896606,0.6763467788696289,0.65625,0.6670792102813721
108,0.5816876292228699,0.6814826130867004,0.34375,0.7226947546005249
